"V1","V2"
"offix",-0.572100135723311
"pluries",-0.572100135723311
"thomasio",-0.572100135723311
"necessarius",-0.572100135723311
"ratio",-0.572100135723311
"fructus",-0.572100135723311
"azo",-0.572100135723311
"ubertina",-0.572100135723311
"litigium",-0.572100135723311
"daniellus",-0.572100135723311
"autoritas",-0.572100135723311
"alexus",-0.572100135723311
"timor",-0.572100135723311
"boscolo",-0.572100135723311
"iovis",-0.572100135723311
"decem_libertatis",-0.572100135723311
"prefectus",-0.572100135723311
"frater",-0.547061153335176
"salarius",-0.541539800919406
"gratia",-0.537419254759305
"bursus",-0.534062938299078
"terminus",-0.533790137181083
"rainerius",-0.529274022282413
"pons",-0.523048488595792
"pisa",-0.513878062792205
"extractio",-0.500690441424779
"nuntius",-0.500690441424779
"soldus",-0.480907092711109
"cionettus",-0.467242919499911
"galeazus",-0.457522050946576
"domus",-0.454937464553877
"scriptum",-0.445012153925573
"mercantia",-0.425672233327313
"notarius",-0.420123583374933
"querela",-0.414235230849479
"conclusio",-0.412210116867281
"monitio",-0.40786771608026
"dico",-0.40786771608026
"elector",-0.407104068085147
"discessus",-0.407104068085147
"fabis",-0.407104068085147
"eligo",-0.407104068085147
"revelator",-0.407104068085147
"ianuam",-0.393885595489682
"officus",-0.39011635817891
"nichola",-0.39011635817891
"esculana",-0.39011635817891
"pptera",-0.39011635817891
"occurrentia",-0.39011635817891
"burgus",-0.39011635817891
"damnus",-0.39011635817891
"capo",-0.39011635817891
"avisamentum",-0.39011635817891
"carolum",-0.39011635817891
"pensio",-0.39011635817891
"lucana",-0.39011635817891
"guarnimentum",-0.39011635817891
"capturus",-0.39011635817891
"proprium",-0.39011635817891
"oratio",-0.39011635817891
"senus",-0.39011635817891
"bulletinus",-0.39011635817891
"iuramentum",-0.39011635817891
"bursa",-0.39011635817891
"occurentia",-0.39011635817891
"loisius",-0.39011635817891
"adunatio",-0.39011635817891
"ducentum",-0.39011635817891
"subditus",-0.39011635817891
"preventio",-0.39011635817891
"detractio",-0.39011635817891
"nero",-0.39011635817891
"cassatio",-0.39011635817891
"oblatus",-0.39011635817891
"iustitia",-0.39011635817891
"prefectis",-0.39011635817891
"cantagallus",-0.39011635817891
"captus",-0.388468966320324
"reformator",-0.361296145087089
"della",-0.357490003231803
"oblatio",-0.356792501090374
"fors",-0.350267610635027
"rego",-0.345546598647309
"conditio",-0.3414820193605
"mediator",-0.331216874171674
"locus",-0.323639892865828
"devetus",-0.322235710969777
"scrutinium",-0.312682964294172
"magnate",-0.311694163370628
"arco",-0.306340027592216
"porta",-0.302921436233996
"libra",-0.301893435084092
"bardus",-0.298097295269764
"servicium",-0.298097295269764
"bernaba",-0.298097295269764
"otto",-0.298097295269764
"consulum",-0.298097295269764
"hospes",-0.298097295269764
"partem",-0.298097295269764
"xxx",-0.282159183512726
"persona",-0.279800546576157
"obligatio",-0.277662779175131
"mulium",-0.272191123469015
